20110102a,김범준展 / KIMBEONJUN / 金範埈 / mixed media,with nothing,solo exhibition,김범준,무제,현수막 실사출력,140×90cm,2011,https://neolook.com/archives/2011010204a.jpg
20110226c,오숙진展 / OHSUKCHIN / 吳淑眞 / painting,TOPIA ,solo exhibition,오숙진,14th Louis-5,캔버스에 유채,91×116.7cm,2010,https://neolook.com/archives/2011022601c.jpg
20110226c,오숙진展 / OHSUKCHIN / 吳淑眞 / painting,TOPIA ,solo exhibition,오숙진,Bhopal,캔버스에 유채,60.6×41cm×4,2010,https://neolook.com/archives/2011022602c.jpg
20110226c,오숙진展 / OHSUKCHIN / 吳淑眞 / painting,TOPIA ,solo exhibition,오숙진,정림리,캔버스에 유채,116.7×91cm,2010,https://neolook.com/archives/2011022603c.jpg
20110226c,오숙진展 / OHSUKCHIN / 吳淑眞 / painting,TOPIA ,solo exhibition,오숙진,정림리,캔버스에 유채,53×45.5cm×3,2010,https://neolook.com/archives/2011022604c.jpg
20110226c,오숙진展 / OHSUKCHIN / 吳淑眞 / painting,TOPIA ,solo exhibition,오숙진,14th Louis-1,캔버스에 유채,50×72.7cm,2010,https://neolook.com/archives/2011022605c.jpg
20110226c,오숙진展 / OHSUKCHIN / 吳淑眞 / painting,TOPIA ,solo exhibition,오숙진,14th Louis-5,종이에 과슈,29×34cm,2010,https://neolook.com/archives/2011022606c.jpg
20110226c,오숙진展 / OHSUKCHIN / 吳淑眞 / painting,TOPIA ,solo exhibition,오숙진,Utopia-Dystopia,캔버스에 유채,116.7×91cm×2,2011,https://neolook.com/archives/2011022607c.jpg
20110226d,나광호展 / NAKWANGHO / 羅鑛浩 / drawing,Drawing,solo exhibition,나광호,털 많은 손,종이에 연필,200×151cm,2010,https://neolook.com/archives/2011022601d.jpg
20110226d,나광호展 / NAKWANGHO / 羅鑛浩 / drawing,Drawing,solo exhibition,나광호,건방진 미술선생님,종이에 연필,230×151cm,2010,https://neolook.com/archives/2011022602d.jpg
20110226d,나광호展 / NAKWANGHO / 羅鑛浩 / drawing,Drawing,solo exhibition,나광호,비너스,종이에 연필,230×151cm,2011,https://neolook.com/archives/2011022603d.jpg
20110226d,나광호展 / NAKWANGHO / 羅鑛浩 / drawing,Drawing,solo exhibition,나광호,보람,종이에 연필,230×151cm,2010,https://neolook.com/archives/2011022604d.jpg
20110226d,나광호展 / NAKWANGHO / 羅鑛浩 / drawing,Drawing,solo exhibition,나광호,곁눈질,종이에 연필,220×151cm,2010,https://neolook.com/archives/2011022605d.jpg
20110226d,나광호展 / NAKWANGHO / 羅鑛浩 / drawing,Drawing,solo exhibition,나광호,문어머리,캔버스 종이에 혼합재료,162×130.3cm,2010,https://neolook.com/archives/2011022606d.jpg
20110226d,나광호展 / NAKWANGHO / 羅鑛浩 / drawing,Drawing,solo exhibition,나광호,Cooked and Raw,아크릴 판에 아크릴채색 실크스크린 보드×3,117×85cm,201020102009,https://neolook.com/archives/2011022607d.jpg
20110226e,채승우展 / CHAESEUNGWOO / 蔡承雨 / photography,농업박물관 Museum of Agriculture,solo exhibition,채승우,서초구 양재천 2010.09,아카이벌피그먼트 프린트,67×100cm,2010,https://neolook.com/archives/2011022601e.jpg
20110226e,채승우展 / CHAESEUNGWOO / 蔡承雨 / photography,농업박물관 Museum of Agriculture,solo exhibition,채승우,강남구 양재천 2008.05,아카이벌피그먼트 프린트,67×100cm,2008,https://neolook.com/archives/2011022602e.jpg
20110226e,채승우展 / CHAESEUNGWOO / 蔡承雨 / photography,농업박물관 Museum of Agriculture,solo exhibition,채승우,면중초등학교 2010.09,아카이벌피그먼트 프린트,90×135cm,2010,https://neolook.com/archives/2011022603e.jpg
20110226e,채승우展 / CHAESEUNGWOO / 蔡承雨 / photography,농업박물관 Museum of Agriculture,solo exhibition,채승우,서대문구 안산도시공원 2010.10,아카이벌피그먼트 프린트,90×135cm,2010,https://neolook.com/archives/2011022604e.jpg
20110226e,채승우展 / CHAESEUNGWOO / 蔡承雨 / photography,농업박물관 Museum of Agriculture,solo exhibition,채승우,서초구 양재천 2010.10,아카이벌피그먼트 프린트,67×100cm,2010,https://neolook.com/archives/2011022605e.jpg
20110226e,채승우展 / CHAESEUNGWOO / 蔡承雨 / photography,농업박물관 Museum of Agriculture,solo exhibition,채승우,종로구 초록띠공원 2010.10,아카이벌피그먼트 프린트,90×135cm,2010,https://neolook.com/archives/2011022606e.jpg
20110226e,채승우展 / CHAESEUNGWOO / 蔡承雨 / photography,농업박물관 Museum of Agriculture,solo exhibition,채승우,종로구 초록띠공원 2010.09,아카이벌피그먼트 프린트,100×67cm,2010,https://neolook.com/archives/2011022607e.jpg
20110228a,2011_0228 ▶ 2011_0428 / 일요일*** 공휴일  휴관,우미경_이우현展,other,우미경,Composition Ⅰ,혼합재료,90×90cm,2010,https://neolook.com/archives/2011022801a.jpg
20110228a,2011_0228 ▶ 2011_0428 / 일요일*** 공휴일  휴관,우미경_이우현展,other,우미경,Composition Ⅲ,혼합재료,91×72.7cm,2010,https://neolook.com/archives/2011022802a.jpg
20110228a,2011_0228 ▶ 2011_0428 / 일요일*** 공휴일  휴관,우미경_이우현展,other,우미경,Composition Ⅳ,혼합재료,90×90cm,2010,https://neolook.com/archives/2011022803a.jpg
20110228a,2011_0228 ▶ 2011_0428 / 일요일*** 공휴일  휴관,우미경_이우현展,other,우미경,Composition Ⅴ,혼합재료,90×90cm,2010,https://neolook.com/archives/2011022804a.jpg
20110228a,2011_0228 ▶ 2011_0428 / 일요일*** 공휴일  휴관,우미경_이우현展,other,우미경,Composition Ⅹ,혼합재료 ,91×72.7cm,2010,https://neolook.com/archives/2011022805a.jpg
20110228a,2011_0228 ▶ 2011_0428 / 일요일*** 공휴일  휴관,우미경_이우현展,other,이우현,파도1,캔버스에 아크릴채색,90.1×90.1cm,2011,https://neolook.com/archives/2011022806a.jpg
20110228a,2011_0228 ▶ 2011_0428 / 일요일*** 공휴일  휴관,우미경_이우현展,other,이우현,파도3,캔버스에 아크릴채색,162.2×130.3cm,2010,https://neolook.com/archives/2011022808a.jpg
20110228a,2011_0228 ▶ 2011_0428 / 일요일*** 공휴일  휴관,우미경_이우현展,other,이우현,파도4,캔버스에 아크릴채색,91×116.8cm,2010,https://neolook.com/archives/2011022809a.jpg
20110228a,2011_0228 ▶ 2011_0428 / 일요일*** 공휴일  휴관,우미경_이우현展,other,이우현,파도5,캔버스에 아크릴채색,116.×91cm,2010,https://neolook.com/archives/2011022810a.jpg
20110302a,최나리展 / CHOINARI / 崔나리 / painting,Garden of desire 욕망의 정원,solo exhibition,최나리,Mato&Mayo''s Massacre,캔버스에 유채 아크릴채색,100×191cm,2010,https://neolook.com/archives/2011030201a.jpg
20110302a,최나리展 / CHOINARI / 崔나리 / painting,Garden of desire 욕망의 정원,solo exhibition,최나리,Balance for Balance,캔버스에 유채 아크릴채색,91×116.7cm,2010,https://neolook.com/archives/2011030202a.jpg
20110302a,최나리展 / CHOINARI / 崔나리 / painting,Garden of desire 욕망의 정원,solo exhibition,최나리,False chatter,캔버스에 유채 아크릴채색,91×116.7cm,2010,https://neolook.com/archives/2011030203a.jpg
20110302a,최나리展 / CHOINARI / 崔나리 / painting,Garden of desire 욕망의 정원,solo exhibition,최나리,Tug of war will not,캔버스에 유채 아크릴채색,112×162cm,2009,https://neolook.com/archives/2011030204a.jpg
20110302a,최나리展 / CHOINARI / 崔나리 / painting,Garden of desire 욕망의 정원,solo exhibition,최나리,Rooftop party,캔버스에 유채 아크릴채색,130.3×162cm,2010,https://neolook.com/archives/2011030205a.jpg
20110302a,최나리展 / CHOINARI / 崔나리 / painting,Garden of desire 욕망의 정원,solo exhibition,최나리,Garden of desire,캔버스에 유채 아크릴채색,112×145.5cm,2010,https://neolook.com/archives/2011030206a.jpg
20110302a,최나리展 / CHOINARI / 崔나리 / painting,Garden of desire 욕망의 정원,solo exhibition,최나리,Racing of a death,캔버스에 유채 아크릴채색,91×116.7cm,2010,https://neolook.com/archives/2011030207a.jpg
20110302b,김정옥展 / KIMJUNGOK / 金正鈺 / painting,GREEN AND ANATOMY -인체 속에 꽃 된 자연,solo exhibition,김정옥,오후의 기억,장지에 분채,162×130cm,2010,https://neolook.com/archives/2011030201b.jpg
20110302b,김정옥展 / KIMJUNGOK / 金正鈺 / painting,GREEN AND ANATOMY -인체 속에 꽃 된 자연,solo exhibition,김정옥,얼굴,장지에 분채,165×130cm,2010,https://neolook.com/archives/2011030202b.jpg
20110302b,김정옥展 / KIMJUNGOK / 金正鈺 / painting,GREEN AND ANATOMY -인체 속에 꽃 된 자연,solo exhibition,김정옥,솟아나는 기억,장지에 분채,162×130cm,2010,https://neolook.com/archives/2011030203b.jpg
20110302b,김정옥展 / KIMJUNGOK / 金正鈺 / painting,GREEN AND ANATOMY -인체 속에 꽃 된 자연,solo exhibition,김정옥,솟아나는...,장지에 분채,132×195cm,2010,https://neolook.com/archives/2011030204b.jpg
20110302b,김정옥展 / KIMJUNGOK / 金正鈺 / painting,GREEN AND ANATOMY -인체 속에 꽃 된 자연,solo exhibition,김정옥,심장의 기억,장지에 분채,132×195cm,2010,https://neolook.com/archives/2011030205b.jpg
20110302b,김정옥展 / KIMJUNGOK / 金正鈺 / painting,GREEN AND ANATOMY -인체 속에 꽃 된 자연,solo exhibition,김정옥,솟아나는...,장지에 분채,129×89cm,2010,https://neolook.com/archives/2011030206b.jpg
20110302c,김종훈展 / KIMJONGHOON / 金鍾鑂 / drawing,제3의 마초들을 위한 최면술,solo exhibition,김종훈,SRY's-activity-044,코튼지에 유채,76×58cm,2011,https://neolook.com/archives/2011030205c.jpg
20110302c,김종훈展 / KIMJONGHOON / 金鍾鑂 / drawing,제3의 마초들을 위한 최면술,solo exhibition,김종훈,SRY's-activity-045,코튼지에 유채,76×58cm,2011,https://neolook.com/archives/2011030206c.jpg
20110302c,김종훈展 / KIMJONGHOON / 金鍾鑂 / drawing,제3의 마초들을 위한 최면술,solo exhibition,김종훈,SRY's-activity-046,코튼지에 유채,76×58cm,2011,https://neolook.com/archives/2011030207c.jpg
20110302d,2011_0301 ▶ 2011_0313,MY OASIS-치명적 아름다움,other,김성호,새벽,캔버스에 유채,110×260cm, 2009,https://neolook.com/archives/2011030201d.jpg
20110302d,2011_0301 ▶ 2011_0313,MY OASIS-치명적 아름다움,other,김지혜,소유의 시간 Time of possession,캔버스에 아크릴채색,160×130cm,2010,https://neolook.com/archives/2011030202d.jpg
20110302d,2011_0301 ▶ 2011_0313,MY OASIS-치명적 아름다움,other,두민,Fortune-Janus,캔버스에 유채,78×180,2011,https://neolook.com/archives/2011030203d.jpg
20110302d,2011_0301 ▶ 2011_0313,MY OASIS-치명적 아름다움,other,박성민,Ice Capsule,캔버스에 유채,97×162cm,2010,https://neolook.com/archives/2011030204d.jpg
20110302d,2011_0301 ▶ 2011_0313,MY OASIS-치명적 아름다움,other,박은하,이 사람을 보라 Ecce Homo,캔버스에 유채,291×182cm,2010,https://neolook.com/archives/2011030205d.jpg
20110302d,2011_0301 ▶ 2011_0313,MY OASIS-치명적 아름다움,other,윤병락,탐스러운상자,캔버스에 유채,224×206cm,2010,https://neolook.com/archives/2011030206d.jpg
20110302d,2011_0301 ▶ 2011_0313,MY OASIS-치명적 아름다움,other,정명조,The Paradox of Beauty10-04,캔버스에 유채,162.2×97cm,2010,https://neolook.com/archives/2011030208d.jpg
20110302d,2011_0301 ▶ 2011_0313,MY OASIS-치명적 아름다움,other,정해윤,memory,oriental water color on thick mulberry paper,194×260cm,2010,https://neolook.com/archives/2011030209d.jpg
20110302d,2011_0301 ▶ 2011_0313,MY OASIS-치명적 아름다움,other,홍지연,boxing memory,캔버스에 아크릴채색,181.8×454cm,2008,https://neolook.com/archives/2011030210d.jpg
20110302e,신소영展 / SHINSOYOUNG / 申昭暎 / painting,연속적으로 변해가는 순간들 Moments in Continuous Change,solo exhibition,신소영,어떠니,캔버스에 유채,130.3×162.2cm,2011,https://neolook.com/archives/2011030203e.jpg
20110302e,신소영展 / SHINSOYOUNG / 申昭暎 / painting,연속적으로 변해가는 순간들 Moments in Continuous Change,solo exhibition,신소영,그때서야,캔버스에 유채,97×162.2cm,2011,https://neolook.com/archives/2011030201e.jpg
20110302e,신소영展 / SHINSOYOUNG / 申昭暎 / painting,연속적으로 변해가는 순간들 Moments in Continuous Change,solo exhibition,신소영,한번만,캔버스에 유채,112.2×193.9cm,2011,https://neolook.com/archives/2011030202e.jpg
20110302e,신소영展 / SHINSOYOUNG / 申昭暎 / painting,연속적으로 변해가는 순간들 Moments in Continuous Change,solo exhibition,신소영,잊어가는잊혀지는,캔버스에 유채,120×120cm,2011,https://neolook.com/archives/2011030204e.jpg
20110302e,신소영展 / SHINSOYOUNG / 申昭暎 / painting,연속적으로 변해가는 순간들 Moments in Continuous Change,solo exhibition,신소영,그 순간12,캔버스에 유채,각 60×91cm,2011,https://neolook.com/archives/2011030205e.jpg
20110302e,신소영展 / SHINSOYOUNG / 申昭暎 / painting,연속적으로 변해가는 순간들 Moments in Continuous Change,solo exhibition,신소영,그때의 너는,캔버스에 유채,97×193.9cm,2011,https://neolook.com/archives/2011030206e.jpg
20110302e,신소영展 / SHINSOYOUNG / 申昭暎 / painting,연속적으로 변해가는 순간들 Moments in Continuous Change,solo exhibition,신소영,언제나 흐른다,캔버스에 유채,112.2×162.2cm,2011,https://neolook.com/archives/2011030207e.jpg
20110302g,박우철展 / PARKWOOCHUL / 朴釪徹 / painting,바람아 불어라 Let the wind blow,solo exhibition,박우철,바람 부는 날,한지에 먹,122×203cm,2011,https://neolook.com/archives/2011030201g.jpg
20110302g,박우철展 / PARKWOOCHUL / 朴釪徹 / painting,바람아 불어라 Let the wind blow,solo exhibition,박우철,바람 부는 날,한지에 먹,100×200cm,2010,https://neolook.com/archives/2011030202g.jpg
20110302g,박우철展 / PARKWOOCHUL / 朴釪徹 / painting,바람아 불어라 Let the wind blow,solo exhibition,박우철,바람 부는 날,한지에 먹,72×142cm,2010,https://neolook.com/archives/2011030203g.jpg
20110302g,박우철展 / PARKWOOCHUL / 朴釪徹 / painting,바람아 불어라 Let the wind blow,solo exhibition,박우철,바람 부는 날,한지에 먹,100×200cm,2011,https://neolook.com/archives/2011030204g.jpg
20110302g,박우철展 / PARKWOOCHUL / 朴釪徹 / painting,바람아 불어라 Let the wind blow,solo exhibition,박우철,바람 부는 날,한지에 먹,71×129cm,2010,https://neolook.com/archives/2011030205g.jpg
20110302g,박우철展 / PARKWOOCHUL / 朴釪徹 / painting,바람아 불어라 Let the wind blow,solo exhibition,박우철,바람 부는 날,한지에 먹,71×141cm,2011,https://neolook.com/archives/2011030206g.jpg
20110302h,손승범展 / SONSEUNGBEOM / 孫昇汎 / painting,On The Stage,solo exhibition,손승범,음흉한마술사,장지에 채색,145×112cm,2011,https://neolook.com/archives/2011030201h.jpg
20110302h,손승범展 / SONSEUNGBEOM / 孫昇汎 / painting,On The Stage,solo exhibition,손승범,어설픈서커스,장지에 채색,200×130cm,2011,https://neolook.com/archives/2011030202h.jpg
20110302h,손승범展 / SONSEUNGBEOM / 孫昇汎 / painting,On The Stage,solo exhibition,손승범,Show,장지에 채색,163×262cm,2010,https://neolook.com/archives/2011030203h.jpg
20110302h,손승범展 / SONSEUNGBEOM / 孫昇汎 / painting,On The Stage,solo exhibition,손승범,A Tangle Show,장지에 채색,163×131cm,2011,https://neolook.com/archives/2011030204h.jpg
20110302h,손승범展 / SONSEUNGBEOM / 孫昇汎 / painting,On The Stage,solo exhibition,손승범,Slip,장지에 채색,79.5×131cm,2011,https://neolook.com/archives/2011030205h.jpg
20110302h,손승범展 / SONSEUNGBEOM / 孫昇汎 / painting,On The Stage,solo exhibition,손승범,Magic,장지에 채색,131×163cm,2010,https://neolook.com/archives/2011030206h.jpg
20110302h,손승범展 / SONSEUNGBEOM / 孫昇汎 / painting,On The Stage,solo exhibition,손승범,꼭두각시,장지에 채색,91×117cm,2010,https://neolook.com/archives/2011030207h.jpg
20110302i,봄맞이 특별展,나비의 꿈,exhibition,고명근,Transparent Archive9,필름 플라스틱,210×250×60cm,2010,https://neolook.com/archives/2011030202i.jpg
20110302i,봄맞이 특별展,나비의 꿈,exhibition,금중기,숲,합성수지에 우레탄도색,98×85×27cm,2010,https://neolook.com/archives/2011030203i.jpg
20110302i,봄맞이 특별展,나비의 꿈,exhibition,김혁,조커친위대장,캔버스에 아크릴채색,162×112cm,2010,https://neolook.com/archives/2011030204i.jpg
20110302i,봄맞이 특별展,나비의 꿈,exhibition,남경민,화가의서재-마네에서워홀까지,린넨에 유채,200×750cm,2008,https://neolook.com/archives/2011030205i.jpg
20110302i,봄맞이 특별展,나비의 꿈,exhibition,박정용,생명의 파장,합성수지 물 스테인레스 스틸,64×90×64cm,2009,https://neolook.com/archives/2011030207i.jpg
20110302i,봄맞이 특별展,나비의 꿈,exhibition,백종기,나비무늬장갑을 낀 아톰,foamex+urethane color,90×115×15cm,2010,https://neolook.com/archives/2011030208i.jpg
20110302i,봄맞이 특별展,나비의 꿈,exhibition,최미연,In my city,한지에 채색,194×130.5cm,2011,https://neolook.com/archives/2011030210i.jpg
20110302j,2011_0302 ▶ 2011_0415 / 월요일 휴관,다중감각 (多重感覺),other,다발킴,Self-Portrait,종이에 잉크 동물가죽,120×80cm,2010,https://neolook.com/archives/2011030201j.jpg
20110302j,2011_0302 ▶ 2011_0415 / 월요일 휴관,다중감각 (多重感覺),other,사타,satarkmon#03,아카이벌 피그먼트 프린트,80×80cm,2010,https://neolook.com/archives/2011030202j.jpg
20110302j,2011_0302 ▶ 2011_0415 / 월요일 휴관,다중감각 (多重感覺),other,이재훈,The managed emotion-무엇을 바라보고 있습니까(no.2),벽화기법,280×200cm,2011,https://neolook.com/archives/2011030203j.jpg
20110302j,2011_0302 ▶ 2011_0415 / 월요일 휴관,다중감각 (多重感覺),other,김병주,Enumerated Void,철 우레탄도장,가변설치,2010,https://neolook.com/archives/2011030204j.jpg
20110302j,2011_0302 ▶ 2011_0415 / 월요일 휴관,다중감각 (多重感覺),other,이문호,relativity-by-M.C.-Escher,람다 프린트,111×116cm,2006,https://neolook.com/archives/2011030205j.jpg
20110302j,2011_0302 ▶ 2011_0415 / 월요일 휴관,다중감각 (多重感覺),other,전지윤,A Couple of Men,인터랙티브 워크(AR) 아이폰,18×26.5cm,2011,https://neolook.com/archives/2011030206j.jpg
20110302j,2011_0302 ▶ 2011_0415 / 월요일 휴관,다중감각 (多重感覺),other,채미현,하루,다이오트 레이저 모듈 리얼 뇌파동 레이저 구동장치,120×120×20cm 가변설치,2007,https://neolook.com/archives/2011030207j.jpg
20110303a,정희승展 / CHUNGHEESEUNG / 鄭喜丞 / photography,Unphotographable,solo exhibition,정희승,Untitled #07 the series The Reading,아카이벌 피그먼트 프린트,135×180cm,2010,https://neolook.com/archives/2011030301a.jpg
20110303a,정희승展 / CHUNGHEESEUNG / 鄭喜丞 / photography,Unphotographable,solo exhibition,정희승,Untitled #05 from the series The Reading,아카이벌 피그먼트 프린트,135×180cm,2010,https://neolook.com/archives/2011030302a.jpg
20110303a,정희승展 / CHUNGHEESEUNG / 鄭喜丞 / photography,Unphotographable,solo exhibition,정희승,Untitled #04 the series The Reading,아카이벌 피그먼트 프린트,135×180cm,2010 ,https://neolook.com/archives/2011030303a.jpg
20110303a,정희승展 / CHUNGHEESEUNG / 鄭喜丞 / photography,Unphotographable,solo exhibition,정희승,Untitled #11 the series The Reading,아카이벌 피그먼트 프린트,135×180cm,2010 ,https://neolook.com/archives/2011030304a.jpg
20110303a,정희승展 / CHUNGHEESEUNG / 鄭喜丞 / photography,Unphotographable,solo exhibition,정희승,Folly(still),HD 아나몰픽 영상 설치,00:04:11,2010 ,https://neolook.com/archives/2011030305a.jpg
20110303a,정희승展 / CHUNGHEESEUNG / 鄭喜丞 / photography,Unphotographable,solo exhibition,정희승,Curves (Triptych),아카이벌 피그먼트 프린트,각 135×180cm,2010,https://neolook.com/archives/2011030306a.jpg
20110303b,전영진展 / JUNYOUNGJIN / 全渶眞 / painting,2011 CANVAS PLAY,solo exhibition,전영진,Find criticism in canvas,캔버스에 아크릴채색,130×89cm,2011,https://neolook.com/archives/2011030303b.jpg
20110303b,전영진展 / JUNYOUNGJIN / 全渶眞 / painting,2011 CANVAS PLAY,solo exhibition,전영진,Texts make a masterpiece,패널에 혼합재료,60×73cm,2010,https://neolook.com/archives/2011030304b.jpg
20110303b,전영진展 / JUNYOUNGJIN / 全渶眞 / painting,2011 CANVAS PLAY,solo exhibition,전영진,Function of canvas,캔버스에 아크릴채색,60×60×60cm,2009,https://neolook.com/archives/2011030305b.jpg
20110303b,전영진展 / JUNYOUNGJIN / 全渶眞 / painting,2011 CANVAS PLAY,solo exhibition,전영진,Must have requisites,캔버스에 아크릴채색,112×193cm,2010,https://neolook.com/archives/2011030306b.jpg
20110303b,전영진展 / JUNYOUNGJIN / 全渶眞 / painting,2011 CANVAS PLAY,solo exhibition,전영진,Advantage of paintings,캔버스에 아크릴채색,80×80cm×2,2009,https://neolook.com/archives/2011030307b.jpg
20110303c,사진집단 포토청 사진展 / photography,心. 景. 고. 백.,solo exhibition,백홍기,파주'夜'-운정,잉크젯 프린트,80×120cm,2010,https://neolook.com/archives/2011030301c.jpg
20110303c,사진집단 포토청 사진展 / photography,心. 景. 고. 백.,solo exhibition,강정미,군포,젤라틴 실버 프린트,25×25cm,2010,https://neolook.com/archives/2011030303c.jpg
20110303c,사진집단 포토청 사진展 / photography,心. 景. 고. 백.,solo exhibition,성호정,무제,아카이벌 피그먼트 프린트,16×24cm,2011,https://neolook.com/archives/2011030304c.jpg
20110303c,사진집단 포토청 사진展 / photography,心. 景. 고. 백.,solo exhibition,성호정,무제,아카이벌 피그먼트 프린트,16×24cm,2011,https://neolook.com/archives/2011030305c.jpg
20110303c,사진집단 포토청 사진展 / photography,心. 景. 고. 백.,solo exhibition,김민수,생명 Ⅳ,아카이벌 피그먼트 프린트,40×60cm,2009,https://neolook.com/archives/2011030308c.jpg
20110303c,사진집단 포토청 사진展 / photography,心. 景. 고. 백.,solo exhibition,김진호,Modern Evidence(matrix version),C 프린트,80×100cm,2011,https://neolook.com/archives/2011030309c.jpg
20110303d,2011_0302 ▶ 2011_0316,프로젝트 냄새,other,홍태림,Weight,혼합재료,가변크기,2011,https://neolook.com/archives/2011030302d.jpg
20110303d,2011_0302 ▶ 2011_0316,프로젝트 냄새,other,이종원,Flying horse,혼합재료,55×80cm,2007,https://neolook.com/archives/2011030303d.jpg
20110303d,2011_0302 ▶ 2011_0316,프로젝트 냄새,other,김규년,DB half-way,단채널 영상,00:11:03,2010,https://neolook.com/archives/2011030304d.jpg
20110303d,2011_0302 ▶ 2011_0316,프로젝트 냄새,other,영호,untitle,혼합재료,가변크기,2011,https://neolook.com/archives/2011030305d.jpg
20110303d,2011_0302 ▶ 2011_0316,프로젝트 냄새,other,봄양,존재,wire rap,가변크기,2011,https://neolook.com/archives/2011030306d.jpg
20110303d,2011_0302 ▶ 2011_0316,프로젝트 냄새,other,김동균,A&IW series,포장지에 펜,39×66cm,2011,https://neolook.com/archives/2011030307d.jpg
20110303e,임선영展 / IMSUNYOUNG / 任宣泳 / photography,Going Back Home,solo exhibition,임선영,새벽 2시 30분,디지털 C 프린트,82.44×120cm,2011,https://neolook.com/archives/2011030302e.jpg
20110303e,임선영展 / IMSUNYOUNG / 任宣泳 / photography,Going Back Home,solo exhibition,임선영,뿔,디지털 C 프린트,82.44×120cm,2011,https://neolook.com/archives/2011030303e.jpg
20110303e,임선영展 / IMSUNYOUNG / 任宣泳 / photography,Going Back Home,solo exhibition,임선영,낡은 TV,디지털 C 프린트,5×7.7cm,2010,https://neolook.com/archives/2011030304e.jpg
20110303e,임선영展 / IMSUNYOUNG / 任宣泳 / photography,Going Back Home,solo exhibition,임선영,깊은 늪,디지털 C 프린트,82.44×120cm,2011,https://neolook.com/archives/2011030305e.jpg
20110303e,임선영展 / IMSUNYOUNG / 任宣泳 / photography,Going Back Home,solo exhibition,임선영,집으로 가기,디지털 C 프린트,82.44×120cm,2011,https://neolook.com/archives/2011030306e.jpg
20110303g,홍인숙展 / HONGINSOOK / 洪仁淑 / painting,누이오래비생각,solo exhibition,홍인숙,누이오래비생각,천에 채색,116×90cm,2011,https://neolook.com/archives/2011030301g.jpg
20110303g,홍인숙展 / HONGINSOOK / 洪仁淑 / painting,누이오래비생각,solo exhibition,홍인숙,나무가기도하는집,천에 채색,116×90cm,2011,https://neolook.com/archives/2011030302g.jpg
20110303g,홍인숙展 / HONGINSOOK / 洪仁淑 / painting,누이오래비생각,solo exhibition,홍인숙,인생의그늘또한선물인것을,천에 채색,116×90cm,2011,https://neolook.com/archives/2011030303g.jpg
20110303g,홍인숙展 / HONGINSOOK / 洪仁淑 / painting,누이오래비생각,solo exhibition,홍인숙,누이오래비생각,천에 채색,116×90cm,2011,https://neolook.com/archives/2011030304g.jpg
20110303g,홍인숙展 / HONGINSOOK / 洪仁淑 / painting,누이오래비생각,solo exhibition,홍인숙,누이오래비생각,천에 채색,80×116cm,2011,https://neolook.com/archives/2011030305g.jpg
20110303g,홍인숙展 / HONGINSOOK / 洪仁淑 / painting,누이오래비생각,solo exhibition,홍인숙,큰산을오르고있는사람,천에 채색,80×116cm,2011,https://neolook.com/archives/2011030306g.jpg
20110303g,홍인숙展 / HONGINSOOK / 洪仁淑 / painting,누이오래비생각,solo exhibition,홍인숙,나무가기도하는집,천에 채색 바느질,92×62cm,2011,https://neolook.com/archives/2011030307g.jpg
20110303i,윤기옥展 / YOONKIOK / 尹基玉 / photography,Nephelai Nepali 네펠레네팔리: 네팔의 구름,solo exhibition, 윤기옥,untitled,잉크젯 프린트,35×52cm,2011,https://neolook.com/archives/2011030301i.jpg
20110303i,윤기옥展 / YOONKIOK / 尹基玉 / photography,Nephelai Nepali 네펠레네팔리: 네팔의 구름,solo exhibition,윤기옥,untitled,잉크젯 프린트,35×52cm,2011,https://neolook.com/archives/2011030302i.jpg
20110303i,윤기옥展 / YOONKIOK / 尹基玉 / photography,Nephelai Nepali 네펠레네팔리: 네팔의 구름,solo exhibition,윤기옥,untitled,잉크젯 프린트,35×52cm,2011,https://neolook.com/archives/2011030303i.jpg
20110303i,윤기옥展 / YOONKIOK / 尹基玉 / photography,Nephelai Nepali 네펠레네팔리: 네팔의 구름,solo exhibition,윤기옥,untitled,잉크젯 프린트,35×52cm,2011,https://neolook.com/archives/2011030304i.jpg
20110303i,윤기옥展 / YOONKIOK / 尹基玉 / photography,Nephelai Nepali 네펠레네팔리: 네팔의 구름,solo exhibition,윤기옥,untitled,잉크젯 프린트,35×52cm,2011,https://neolook.com/archives/2011030305i.jpg
20110303i,윤기옥展 / YOONKIOK / 尹基玉 / photography,Nephelai Nepali 네펠레네팔리: 네팔의 구름,solo exhibition,윤기옥,untitled,잉크젯 프린트,35×52cm,2011,https://neolook.com/archives/2011030306i.jpg
20110303i,윤기옥展 / YOONKIOK / 尹基玉 / photography,Nephelai Nepali 네펠레네팔리: 네팔의 구름,solo exhibition,윤기옥,untitled,잉크젯 프린트,35×52cm,2011,https://neolook.com/archives/2011030307i.jpg
20110304a,이보람展 / LEEBORAM / 李보람 / painting,CUT-OUT,solo exhibition,이보람,희생자 3,캔버스에 유채 아크릴채색,193×130cm,2010,https://neolook.com/archives/2011030401a.jpg
20110304a,이보람展 / LEEBORAM / 李보람 / painting,CUT-OUT,solo exhibition,이보람,희생자 2,캔버스에 유채 아크릴채색,193×130cm,2010,https://neolook.com/archives/2011030402a.jpg
20110304a,이보람展 / LEEBORAM / 李보람 / painting,CUT-OUT,solo exhibition,이보람,희생자 4,캔버스에 유채 아크릴채색,193×130cm,2010,https://neolook.com/archives/2011030403a.jpg
